routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
ygemm	TN	64	2.2897	2.1016	3.1094	2.9297	3.2290	3.2290	3.2130	3.2299	3.1963
ygemm	TN	128	2.3425	2.3162	3.1848	3.1409	3.2106	3.2106	3.2196	3.2130	3.2229
ygemm	TN	256	2.4006	2.3557	3.2300	3.1875	3.1690	3.1690	3.2362	3.2062	3.1848
ygemm	TN	512	2.4004	2.3545	3.1128	3.0417	3.1278	3.1278	3.1137	3.1352	3.1124
ygemm	TT	64	2.2988	2.1097	2.6792	2.9680	2.8149	2.8149	3.1870	3.0965	3.0482
ygemm	TT	128	2.3673	2.3162	2.1365	2.1821	2.2530	2.2530	2.2515	2.2534	2.2538
ygemm	TT	256	2.4014	2.3665	2.1828	2.1600	2.2175	2.2175	2.2351	2.2087	2.2145
ygemm	TT	512	2.3952	2.3562	2.0774	2.0266	2.0992	2.0992	2.1244	2.1162	2.1256
ygemmtr	LCC	64	2.3657	2.6761	2.8166	2.5066	2.8342	2.8342	2.8427	2.5525	2.7783
ygemmtr	LCC	128	2.1244	2.1050	2.1017	2.0721	2.1521	2.1521	2.1391	2.1599	2.1441
ygemmtr	LCC	256	2.1243	2.1212	2.0926	2.0610	2.1286	2.1286	2.1359	2.1271	2.1261
ygemmtr	LCC	512	2.0962	2.0924	2.0476	2.0063	2.0967	2.0967	2.0939	2.0753	2.0963
ygemmtr	LCN	64	2.5672	2.8810	2.9053	2.6299	2.9201	2.9201	2.9059	2.8511	2.9199
ygemmtr	LCN	128	2.9091	1.3778	2.9465	2.8813	2.9304	2.9304	2.9485	2.9332	2.9326
ygemmtr	LCN	256	2.9591	2.1767	2.9250	2.9105	2.9709	2.9709	2.9286	2.9725	2.9625
ygemmtr	LCN	512	2.9433	2.6535	2.9406	2.8985	2.9564	2.9564	2.9439	2.9146	2.9399
ygemmtr	LCT	64	2.7936	2.5064	2.9016	2.6094	2.9159	2.9159	2.9125	2.7450	2.4664
ygemmtr	LCT	128	2.1428	2.1389	2.1424	2.0987	2.1323	2.1323	2.1224	2.1401	2.1403
ygemmtr	LCT	256	2.1380	2.1323	2.1099	2.0631	2.1149	2.1149	2.1143	2.1210	2.1200
ygemmtr	LCT	512	2.1062	2.1055	2.0943	2.0570	2.0747	2.0747	2.0771	2.0897	2.0828
