run_id	run_binary	omp	taskset	routine	key	size	iters	subject_GFs	migrated_GFs
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y-1	512	5	1.9496	1.9292
epopenblas-omp1	ep_	1	0	egbmv	T/x2/y-1	1024	5	1.9169	1.9216
epopenblas-omp1	ep_	1	0	egbmv	T/x-1	128	5	2.0666	2.1057
epopenblas-omp1	ep_	1	0	egbmv	T/x-1	256	5	2.0131	2.0652
epopenblas-omp1	ep_	1	0	egbmv	T/x-1	512	5	1.9514	1.9867
epopenblas-omp1	ep_	1	0	egbmv	T/x-1	1024	5	1.9235	1.9550
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y2	128	5	2.0694	2.0973
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y2	256	5	1.0958	1.1009
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y2	512	5	1.0486	1.1506
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y2	1024	5	1.2570	1.9597
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y-1	128	5	2.0613	2.1025
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y-1	256	5	2.0189	2.0642
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y-1	512	5	1.9637	1.9893
epopenblas-omp1	ep_	1	0	egbmv	T/x-1/y-1	1024	5	1.8743	1.9655
epopenblas-omp4	ep_	4	0	egbmv	N	128	5	1.0593	1.1926
epopenblas-omp4	ep_	4	0	egbmv	N	256	5	1.0339	1.1667
epopenblas-omp4	ep_	4	0	egbmv	N	512	5	0.4790	1.1040
epopenblas-omp4	ep_	4	0	egbmv	N	1024	5	0.2974	0.5379
epopenblas-omp4	ep_	4	0	egbmv	N/y2	128	5	0.4817	0.4836
epopenblas-omp4	ep_	4	0	egbmv	N/y2	256	5	0.4809	0.4317
epopenblas-omp4	ep_	4	0	egbmv	N/y2	512	5	0.2236	0.4510
epopenblas-omp4	ep_	4	0	egbmv	N/y2	1024	5	0.2889	0.4519
epopenblas-omp4	ep_	4	0	egbmv	N/y-1	128	5	0.4596	0.4586
epopenblas-omp4	ep_	4	0	egbmv	N/y-1	256	5	0.4333	0.4527
epopenblas-omp4	ep_	4	0	egbmv	N/y-1	512	5	0.2279	0.4496
epopenblas-omp4	ep_	4	0	egbmv	N/y-1	1024	5	0.6096	1.0150
